ID	店名	一级标签	二级标签	电话	描述
1010011700010000	悦瓷坊	其他	珠宝工艺品	null	
1010011700010001	bershop	儿童母婴	儿童用品		
1010011700010002	英卓锐	餐饮	咖啡厅	66006666-6172	英卓锐咖啡生活馆成立于2009年，主要经营咖啡、咖啡机、咖啡辅料及咖啡相关的器具等，同时也经营红酒杯、醒酒器、红酒开瓶器、西餐餐具、西餐厨具、家具定制等。
1010011700010003	食通天美食广场	餐饮	快餐	010-82834458	
1010011700010004	多样屋	儿童母婴	母婴用品		多样屋 领导家居流行，创造生活时尚的TAYOHYA多样屋家居用品生活馆，主营厨房餐具、卫浴、床上居家摆设等系列产品。
1010011700010005	美克美家	儿童母婴	母婴用品		
1010011700010006	佳之优品	儿童母婴	母婴用品	010-82834552	
1010011700010007	利快	儿童母婴	母婴用品		利快中国机构的前身为德国利快上市公司（Leifheit AG）1996年在中国香港设立的利快亚洲公司，及其后在中国大陆设立的利快亚洲公司北京代表处，基于德国公司的全球经营战略调整，于2003年撤消办事处并正式改制成为实体内资有限责任公司。
1010011700010008	食通天美食广场	餐饮	快餐	010-82834458	美克美家家具连锁有限公司始创于2001年，品牌简称 “美克美家”，隶属于美克国际家具股份有限公司
1010011700010009	食通天美食广场	餐饮	快餐	010-82834458	
1010011700010010	和佰佳居	儿童母婴	母婴用品		
1010011700010011	真功夫	餐饮	快餐	010-82834923	真功夫餐饮管理有限公司，被誉为中式快餐第一品牌，是中国快餐行业前五强中唯一的本土品牌，坚持“营养还是蒸的好”的品牌定位，主营以蒸品为特色的中式快餐。
1010011700010012	阿香米线	餐饮	快餐		阿香米线，全国连锁餐饮企业，始创于2000年，已在实际经营中，建立了国际化管理系统。已经发展店铺几十余家直营店铺。
1010011700020000	肯德基	餐饮	快餐		肯德基（Kentucky Fried Chicken，肯塔基州炸鸡），简称KFC，是美国跨国连锁餐厅，同时也是世界第二大速食及最大炸鸡连锁企业，由哈兰德·桑德斯上校于1930年在肯塔基州路易斯维尔创建，主要出售炸鸡、汉堡、薯条、蛋挞、汽水等西式快餐食品。
1010011700020001	HUAWEI	电器	电子数码		华为技术有限公司是一家生产销售通信设备的民营通信科技公司，总部位于中国广东省深圳市龙岗区坂田华为基地。华为的产品主要涉及通信网络中的交换网络、传输网络、无线及有线固定接入网络和数据通信网络及无线终端产品，为世界各地通信运营商及专业网络拥有者提供硬件设备、软件、服务和解决方案。华为于1987年在中国深圳正式注册成立。
1010011700020002	屈臣氏	其他	化妆品		屈臣氏是和记黄埔有限公司旗下屈臣氏集团以保健及美容为主的一个品牌。
1010011700020003	羊绒世家	服装	男装		
1010011700020004	TECNICA	服装	男装		
1010011700020005	三星	电器	电子数码		三星集团是韩国第一大企业，同时也是一家大型跨国企业集团，三星集团包括众多的国际下属企业，旗下子公司有：三星电子、三星物产、三星航空、三星人寿保险等等，业务涉及电子、金融、机械、化学等众多领域。
1010011700020006	Bread Talk	餐饮	快餐	010-82815287	Bread Talk 2000年在新加坡成立，以投资开设精品面包蛋糕店为主。它是新加坡面包蛋糕业的第一品牌。此外，它还是全球第一家也是唯一一家以面包业上市的企业。
1010011700020007	尊贵视力	其他	化妆品	010-82816958	
1010011700020008	中旅体育旅行社	体育	体育用品		中旅体育旅行社有限公司是有国家体育总局所属中体竞赛管理集团和中国旅行社总社合作投资组建的具有处境资质的专业旅游公司（出境许可证编号：L-BJ-GJ00062）。
1010011700020009	None	其他	化妆品		N-ONE视觉摄影 NONE： N中取一，代表优秀的意思 ，成都一家个性化摄影工作室，非常适合80后婚纱摄影风格~是成都婚纱摄影工作室
1010011700020010	PAPA JOHNS	餐饮	快餐	010-82816267?4008107272	
1010011700020011	Nike	体育	体育用品		NIKE英文原意指希腊胜利女神。NIKE是全球著名的体育用品品牌，中文译为耐克。该公司总部位于美国俄勒冈州Beaverton。该公司生产的体育用品包罗万象：服装，鞋类，运动器材等等。
1010011700020012	Crocs	体育	体育用品		crocs（卡骆驰）是一家总部位于美国科罗拉多州的鞋履设计、生产及零售商，以crocs品牌于市场上推出男装、女装及童装的舒适鞋款。创立于2002年，crocs鞋子最初的产品市场定位是帆船运动和户外运动者，后来因为它穿着舒适而受到不同消费者的青睐。
1010011700020013	adidas	体育	体育用品		阿迪达斯（adidas）是德国运动用品制造商，阿迪达斯AG的成员公司。
1010011700020014	SASA	其他	化妆品	(010)82816830	莎莎网提供全天侯一站式美容及健康产品网上零售服务，直接安全运送到全世界每一角落。莎莎网带给您包罗万有的高质素产品选择包括：护肤、香氛(香水)、彩妆、纤体塑身、头发护理、 指甲修护、洗浴护理、美容及健康保健食品及男士护理。
1010011700020015	探路者	体育	体育用品		探路者立志从优秀迈向卓越，成为中国户外行业领导型企业和国际一流的户外品牌运营商。
1010011700020016	NIKE 360°	体育	体育用品		NIKE涉及时尚生活领域就是他的生活系列：NIKE 360°。NIKE 360°秉承"运动带入生活"、"生活带入运动"的理念，在2002年指定上海和广服装有限公司（UCCAL）为其中国唯一代理商，开始发掘中国巨大的潜在消费群。NIKE 360° 提供生活化的运动服装给时尚男女，它融入了最新科技与舒适感，又是功能性和时尚的组合。这系列的服装风格强烈、外观休闲，无论在办公室和聚会上都适合穿着。除了服装系列，NIKE 360° 也零售其它饰品如拎包、袜子和帽子，它还不忘许多消费者喜爱的NIKE 运动鞋、凉鞋和"Presto"系列运动鞋。NIKE 360° 还不定期地推出只有NIKE 360°店专卖的限量发行的运动。
1010011700020017	Starbucks	餐饮	咖啡厅	010-82816706	星巴克（Starbucks）是美国一家连锁咖啡公司的名称，1971年成立，为全球最大的咖啡连锁店，其总部坐落美国华盛顿州西雅图市。星巴克旗下零售产品包括30多款全球顶级的咖啡豆、手工制作的浓缩咖啡和多款咖啡冷热饮料、新鲜美味的各式糕点食品以及丰富多样的咖啡机、咖啡杯等商品。星巴克在全球范围内已经有近12,000间分店遍布北美、南美洲、欧洲、中东及太平洋区。2012年3月，星巴克在美国的两款甜点被曝用胭脂虫当着色剂，专家称或令哮喘者过敏。2012年4月，星巴克表示停用该着色剂。
1010011700020018	亮视点	其他	化妆品	010-82834721	LensCrafters亮视点 是全球第一的高端眼镜制造集团Luxottica陆逊梯卡集团旗下最大的连锁零售品牌，通过遍布全球、超过2,000家的零售网络，其始终致力于将最好、最全面、最专业的关爱带给每双需要呵护的眼睛。
1010011700020019	J.LINDEBERG	服装	男装	(010)82834082	J.LINDEBERG 来自瑞典的品牌 , 是一家集设计、生产、销售于一体的高级成衣、时装公司 . 拥有严格的质量保证体系以及完善的售后服务。凭着雄厚的实力，秉承质量第一，客户至上的经营理念，快速稳健地发展。
1010011700020020	Dissona	服装	女装		DISSONA坚持“最优质的皮料是灵魂”，每一块精选的上乘皮料，都经过多重繁复的步骤处理，融合奢华精品的设计信仰以及匠师独一无二的手工，为新时代的女性创造出高雅精致的皮具精品，诠释她们心中华美而坚韧的梦想，经过时间的沉淀，她带给人们的不仅是优质生活的享受，更是永恒追求美好的精神启发。
1010011700020021	CHARLES & KEITH	服装	女装	(010)82816761	Charles& Keith，源自于新加坡的时尚品牌，以其前卫设计和独特创新赢得了众多业内人士的关注和时尚一族的推崇。
1010011700020022	NAUTICA	服装	男装		Nautica的品牌名称来源于拉丁语“Nauticus”，意为船只。三角帆的logo则是冒险、活力与经典的象征。
1010011700020023	Mo & Co	服装	女装		MO&Co.于2004年诞生，一直以来以旗帜鲜明的创新理念、独特个性的设计与裁剪迅速成为了备受瞩目的主流时尚品牌。擅长以天然的材质、内敛的裁剪和独特的细节演绎型格又略带女人味的摩登法式风格，贯穿怀旧和当代，以充满激情的创造力将艺术和时装联系在一起，于视觉艺术、立体结构主义中寻找一切创作灵感。全线产品物流从服装皮草到配饰都十分丰富与多元化，为追求完美又童心未泯的大都会女性提供了混搭的实验乐趣。
1010011700020024	Folli Follie	其他	钟表		Folli Follie于1982年由总裁DimitrisKoutsolioutsos先生及其夫人Ketty Koutsolioutsos在希腊创立，专长于设计、制作与销售首饰、手表及时尚配饰。如今，Folli Follie在全世界25个国家已拥有超过390个销售网点，秉承“完全时尚理念”，为人们创造“价位合理的时尚奢华”，以满足现代白领的时尚需求。
1010011700020025	map by BeLLE	服装	女装		
1010011700020026	Anne Karen	其他	奢侈品		ANNE KAREN是独具艺术气质的奢侈品牌，创始于70年代英国伦敦，高端定制女士手袋皮具，源自莎士比亚的诗句’Shall I compare thee to a summer’s day’,‘或许我可以将你比作春日’，由衷赞美每一位女性。
1010011700020027	GUESS	其他	钟表		Sequel AG成立于2007年，是一家瑞士公司，总部位于瑞士楚格州，在英国、巴黎、香港、多伦多以及美国康涅狄格州的诺瓦克设立了分支机构。Sequel AG是瑞士钟表工业联合会的成员之一。Sequel AG与GUESS 手表签署了为期15年的许可协议，获得了该品牌的全球独家分销权。Sequel AG在世界上100多个国家通过60个分销商和20,000个零售点，来分销GUESS手表的产品。
1010011700020028	DAZZLE	体育	体育用品		Dazzle是地素时尚股份有限公司旗下女装品牌，融合了意大利的文化底蕴和现代运动休闲娱乐的时尚思潮。该品牌在2002年创立于中国的时尚之都上海，是一家多品牌运作的服饰时尚集团。
