pid	name	type	tag	phone	story
1010013100060094	NATURINA	个护化妆	化妆品		
1010013100060095	米皇	服装		0572-3177666	米皇羊绒是浙江米皇羊绒股份有限公司旗下的高端羊绒品牌。自2001年创建以来，米皇羊绒相继在巴黎、香港、上海、北京等城市创建了自己的设计工作室，坚持时装化设计理念，以设计力提升“软黄金”的真正价值。多年来，米皇羊绒一直秉承着“多彩羊绒”的产品理念与“含蓄的奢华”的品牌理念，引领羊绒时尚潮流，并成为中国羊绒时尚风向标
1010013100060096	兔皇	服装			嘉兴市兔皇羊绒有限公司位于浙江省北部杭嘉湖平原桐乡市境内。地处上海、杭州、苏州等大中城市中心区域。境内一马平川，素有“鱼米之乡、丝绸之府、百花地面、文化之邦”的美誉，是中国现代文学巨匠茅盾和著名漫画家丰子恺的故乡
1010013100060097	蕾沃尔	服装			广东省普宁市昊天实业有限公司成立于2002年，属于民营科技企业，董事长庄淦然。公司拥有现代化厂房2万平方米. 公司主要经营对兔毛进行深加工的业务，利用国内首创的“纯兔毛纱线技术”和“纯兔毛针织品技术”等多项国家专利技术生产100%。纯兔毛纱线和纯兔毛针织品
1010013100060090	canlemon	服装	孕妇装	021-31357666	作为第一孕妇装品牌，canlemon靠着精良的设计远远的将同行甩在身后，在同行也还没有觉醒的时候就已经将设计渗透到方方面面，其成功运行自然是志在必得。
1010013100020038	OMEGA	其他	钟表		欧米茄（OMEGA）是国际著名制表企业和品牌，英文名omega，代表符号“Ω”。由路易士·勃兰特始创于1848 年，欧米茄标志着制表历史上的光辉成就，傲视同侪，相当精致
1010013100020039	亨得利	其他	钟表		1915年，浙江定海人王光祖等人集资，在江苏镇江创办第一家亨得利钟表眼镜商店。亨得利取“生意亨通，利市百倍”之意。由于其经营有方，发展很快，后来相继在上海、北京、天津、南京、沈阳、郑州等大城市均开办了亨得利钟表眼镜商店、兴盛时期全国共有60多家连锁店。现任董事局主席张瑜平
1010013100020036	Make Up For Ever	个护化妆	化妆品	010-82148000	1984年，Dany Sanz女士创立了MAKE UP FOR EVER专业彩妆品牌。Dany女士的初衷是为了满足专业人士各种化妆风格的需求，化出从传统古典到奢侈华贵等各种彩妆效果。时至今日，Dany女士也一直担任着MAKE UP FOR EVER品牌的艺术创意总监职务。
1010013100020037	资生堂	个护化妆	化妆品	010-82148017	SHISEIDO资生堂来自日本，是创始于1872年的高端化妆品品牌，一直致力于对美的追求。资生堂官方网上商城为您提供：护肤、防晒、彩妆、男士等产品信息和美颜方案。
1010013100020034	Bobbi Brown	个护化妆	化妆品		BOBBI BROWN 芭比波朗，世界顶级专业彩妆品牌，由国际著名彩妆大师 Bobbi Brown女士于1991年在美国纽约创立。素有好莱坞裸妆皇后之称的Bobbi Brown以干净、清新、时尚的理念闻名于世，革命性首创的自然妆概念，令她在好莱坞、时尚界乃至各顶级时尚秀场中皆享有盛誉。
1010013100020035	CLARINS	个护化妆	化妆品	010-62192951	娇韵诗公司成立于1954年，是法国美容界的著名品牌。它的崛起不同于那些由流行服饰起家的化妆品牌，也有别于一般由脸部护肤开始发展的保养品，当大多数品牌将身体保养品列为较晚发展的项目时，娇韵诗却已经以非常完整的身体保养系列为自己在市场上找到明确的定位，并奠定了品牌基础。在娇韵诗的经营理念中，产品的开发设计一直以顾客的需求为主。
1010013100020032	HELENA RUBINSTEIN	个护化妆	化妆品		HR赫莲娜 (Helena Rubinstein) 是欧莱雅集团旗下的顶极奢华美容品牌，也是现代美容行业的奠基品牌之一。HR赫莲娜 (Helena Rubinstein) 严格遵守“严谨、科学、艺术、哲学、女性”的品牌内涵，同时不断创新，首创许多前卫大胆的作风，而成为美容品牌中的胜出者。
1010013100020033	植村秀	个护化妆	化妆品	010-82148545	“植村秀”品牌起名源于其品牌创始人，当今国际世界著名化妆艺术大师植村秀先生。作为日本第一位男性化妆师，植村秀是全球首创“风尚主题妆容”的先驱，因其创作的概念前卫和用色大胆而被公认为彩妆艺术界大师级人物。
1010013100020030	La Mer	个护化妆	化妆品	400-820-2036	雅诗兰黛集团旗下的LA MER海蓝之谜面霜，被誉为化妆品界的奇迹，La Mer的面霜人称“面霜之王”
